"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","207","Проверка получения всех ID бронирований","tests","Thu Jan 22 18:39:16 UTC 2026","passed","Thu Jan 22 18:39:16 UTC 2026","","test_api","",""
"","32","Проверка получения брони по ID","tests","Thu Jan 22 18:39:16 UTC 2026","passed","Thu Jan 22 18:39:16 UTC 2026","","test_api","",""
"","32","Полное обновление брони (PATCH)","tests","Thu Jan 22 18:39:17 UTC 2026","passed","Thu Jan 22 18:39:17 UTC 2026","","test_api","",""
"","62","Удаление существующей брони (DELETE)","tests","Thu Jan 22 18:39:17 UTC 2026","passed","Thu Jan 22 18:39:17 UTC 2026","","test_api","",""
"","31","Полное обновление брони (PUT)","tests","Thu Jan 22 18:39:17 UTC 2026","passed","Thu Jan 22 18:39:17 UTC 2026","","test_api","",""
